\(e \ (\text{Carga Fundamental})\);\(1.602 \times 10^{-19} \text{ C}\)
\(F \ (\text{Força Elétrica / Lei de Coulomb})\);\(\left|k\frac{q_1q_2}{r^2}\right|\)
\(F \ (\text{Força num Campo Elétrico})\);\(qE\)
\(E \ (\text{Campo Elétrico de Carga Pontual})\);\(\left|k\frac{q}{r^2}\right|\)
\(\Phi_E \ (\text{Fluxo Elétrico / Lei de Gauss})\);\(EA\cos\theta = \frac{Q}{\epsilon_0}\)
\(V \ (\text{Potencial Elétrico de Carga Pontual})\);\(k\frac{q}{r}\)
\(U \ (\text{Energia Potencial de Carga Pontual})\);\(qV\)
\(\Delta V \ (\text{Relação Diferença de Potencial e Campo})\);\(-Ed\)
\(W \ (\text{Trabalho feito contra o campo elétrico})\);\(q\Delta V\)
\(W \ (\text{Trabalho feito pelo campo elétrico})\);\(-q\Delta V\)
\(C \ (\text{Capacitância})\);\(\frac{q}{\Delta V}\)
\(C \ (\text{Capacitor de Placas Paralelas})\);\(\epsilon_0\frac{A}{d} \lor \kappa\epsilon_0\frac{A}{d}\)
\(Q(t) \ (\text{Carga - Capacitor Carregando})\);\(Q_{max}(1 - e^{-t/\tau})\)
\(V(t) \ (\text{Tensão - Capacitor Carregando})\);\(\epsilon(1 - e^{-t/\tau})\)
\(Q(t) \ (\text{Carga - Capacitor Descarregando})\);\(Q_{max}e^{-t/\tau}\)
\(V(t) \ (\text{Tensão - Capacitor Descarregando})\);\(\epsilon e^{-t/\tau}\)
\(U_{stored} \ (\text{Energia Armazenada num Capacitor})\);\(\frac{1}{2}C\Delta V^2 = \frac{1}{2}Q\Delta V\)
\(\frac{1}{C_{eq}} \ (\text{Capacitores em Série})\);\(\frac{1}{C_1} + \frac{1}{C_2} + \dots\)
\(C_{eq} \ (\text{Capacitores em Paralelo})\);\(C_1 + C_2 + \dots\)
\(I \ (\text{Corrente Elétrica})\);\(\frac{\Delta q}{\Delta t}\)
\(\Delta V \ (\text{Lei de Ohm})\);\(IR\)
\(R \ (\text{Resistência de um Fio})\);\(\rho\frac{L}{A}\)
\(\rho(T) \ (\text{Dependência da Temperatura - Resistividade})\);\(\rho_0(1+\alpha\Delta T)\)
\(R(T) \ (\text{Dependência da Temperatura - Resistência})\);\(R_0(1+\alpha\Delta T)\)
\(P \ (\text{Potência Dissipada por um Resistor / Efeito Joule})\);\(\Delta V I = I^2R = \frac{\Delta V^2}{R}\)
\(R_{eq} \ (\text{Resistores em Série})\);\(R_1 + R_2 + \dots\)
\(\frac{1}{R_{eq}} \ (\text{Resistores em Paralelo})\);\(\frac{1}{R_1} + \frac{1}{R_2} + \dots\)
\(\text{Lei dos Nós de Kirchhoff (LKC)}\);\(\Sigma I_{\text{in}} = \Sigma I_{\text{out}}\)
\(\text{Lei das Malhas de Kirchhoff (LKT)}\);\(\Sigma \Delta V = 0 \ (\text{Malha fechada})\)
\(F_B \ (\text{Força Magnética em Carga Móvel})\);\(qvB\sin\theta\)
\(F_B \ (\text{Força Magnética num Fio com Corrente})\);\(BIl\sin\theta\)
\(\tau \ (\text{Torque numa Espira com Corrente})\);\(BIAN\sin\theta\)
\(B \ (\text{Campo Magnético - Fio Retilíneo Longo})\);\(\frac{\mu_0 I}{2\pi r}\)
\(B \ (\text{Campo Magnético - Centro de Espira Circular})\);\(N\frac{\mu_0 I}{2R}\)
\(B \ (\text{Campo Magnético - Interior de Solenoide Ideal})\);\(\frac{\mu_0 N I}{L} = \mu_0 n I\)
\(\Phi_B \ (\text{Fluxo Magnético})\);\(B_\perp A = BA\cos\theta\)
\(\epsilon \ (\text{Lei de Faraday / f.e.m. Induzida})\);\(-N\frac{\Delta\Phi_B}{\Delta t}\)
\(\Delta V \ (\text{f.e.m. de Movimento - Motional Emf})\);\(Blv_\perp\)
\(\epsilon \ (\text{f.e.m. de um Gerador})\);\(NBA\omega\sin(\omega t)\)
\(\epsilon_1 \ (\text{Indutância Mútua})\);\(-M\frac{\Delta I}{\Delta t}\)
\(\epsilon \ (\text{Auto-Indutância})\);\(-L\frac{\Delta I}{\Delta t}\)
\(L \ (\text{Indutância})\);\(N\frac{\Delta\Phi_B}{\Delta I} = N\frac{\Phi_B}{I}\)
